domain,images,targets,AP50,AP50_95,AR50,best_F1,confidence_at_best_F1,small_targets,small_AP50,small_AP50_95,small_AR50,operating_confidence,operating_true_positive,operating_false_positive,operating_false_negative,operating_precision,operating_recall,operating_F1
all,240,5151,0.6221242728720143,0.497628781237227,0.7078237235488255,0.6504257332071902,0.1172889992594719,3194,0.5028442498943663,0.37555517894325624,0.6008140262993112,0.25,2374,140,2777,0.9443118536197295,0.46088138225587266,0.6194390084801044
small_green,120,1965,0.4420649890915482,0.3659032403977977,0.5165394402035624,0.5202893991821328,0.048909999430179596,1293,0.27925677858350134,0.20530366021016802,0.3402938901778809,0.25,626,71,1339,0.8981348637015782,0.31857506361323157,0.47032306536438767
medium_green,81,2253,0.7423502736846417,0.5928249469092726,0.8206835330670218,0.7308185783936363,0.11748500168323517,1356,0.6425156631165537,0.4923027778460344,0.7595870206489675,0.25,1244,28,1009,0.9779874213836478,0.5521526853084776,0.7058156028368794
mature,39,933,0.7206862901490845,0.548901465084524,0.8381564844587353,0.7053892215568863,0.11835800111293793,545,0.7102249690371603,0.5195210024350134,0.8238532110091743,0.25,504,41,429,0.9247706422018349,0.5401929260450161,0.682002706359946
