domain,stratum,images,direct_small_AP50_95,dart_small_AP50_95,delta_small_AP50_95,direct_small_AR50,dart_small_AR50,direct_count_MAE_at_0.25,dart_count_MAE_at_0.25
internal,sparse,41,0.3126716915453881,0.3114292776912118,-0.001242413854176283,0.8947368421052632,0.8947368421052632,1.853658536585366,1.9024390243902438
internal,medium,38,0.4434967851985884,0.4418052819734698,-0.0016915032251185735,0.943502824858757,0.9548022598870056,8.026315789473685,8.289473684210526
internal,dense,39,0.46509016581751217,0.46309103401086,-0.001999131806652177,0.9574468085106383,0.9726443768996961,8.35897435897436,8.692307692307692
plos,sparse,19,0.3507849329061572,0.34970446630176977,-0.0010804666043874311,0.9655172413793104,0.9655172413793104,6.2631578947368425,6.421052631578948
plos,medium,18,0.31671620506304454,0.3140910950830292,-0.002625109980015361,0.9615384615384616,0.9615384615384616,6.166666666666667,6.388888888888889
plos,dense,18,0.4296694553431918,0.436936572649547,0.007267117306355209,0.9153439153439153,0.9576719576719577,12.444444444444445,12.666666666666666
citdet,sparse,40,0.22973716176066766,0.22822414190242868,-0.0015130198582389842,0.8404533565823888,0.8552746294681779,10.975,10.95
citdet,medium,39,0.2357255808142557,0.23671837010595748,0.0009927892917017678,0.7952279202279202,0.8087606837606838,19.53846153846154,19.41025641025641
citdet,dense,40,0.2604219348963608,0.261332747246674,0.000910812350313206,0.7978180538448003,0.808551821221186,37.0,36.025
