mode,overall_AP50,overall_AP50_95,overall_AR50,small_AP50,small_AP50_95,small_AR50,precision_conf025,recall_conf025,F1_conf025,count_MAE_conf025,count_bias_conf025,mean_latency_ms,local_stream_fraction,max_det_saturated_fraction
D0,0.6676812635731519,0.26630912298057885,0.794088474509026,0.6602082185950926,0.25553708176040274,0.793110603859722,0.7862458301257378,0.6078159095417576,0.6856119937346162,22.369747899159663,-19.22689075630252,35.17415714323004,0.0,0.7983193277310925
G0,0.6868384394033419,0.25847218656308757,0.8295973021225947,0.6802307910170016,0.249596474422483,0.8280763643909524,0.8318764568764568,0.5663558817694901,0.6739053463944293,28.016806722689076,-27.04201680672269,192.93103697540985,1.0,0.8151260504201681
MARS,0.6671257014587304,0.2560683073853038,0.8248363419956358,0.6600891441665991,0.24642437726987754,0.8240298817181988,0.8173563560583507,0.5446340011902401,0.6536904761904763,28.689075630252102,-28.26890756302521,656.9393193278316,1.0,0.8571428571428571
