run,condition,no_geometry,no_visual,crop_accuracy,crop_macro_F1,crop_QWK,image_accuracy,image_balanced_accuracy,image_macro_F1,image_macro_F1_lower_95,image_macro_F1_upper_95,image_QWK,image_recall_small_green,image_recall_medium_green,image_recall_mature,images_expected,images_with_crop,coverage
main_normal,normal,False,False,0.9015042979942693,0.9055554424765431,0.8456783715961784,0.9827586206896551,0.9716016195406877,0.9786045419703745,0.9538508128252886,0.9965464807608052,0.969619874289135,0.9916666666666667,0.9876543209876543,0.9354838709677419,240,232,0.9666666666666667
nogeom_normal,normal,True,False,0.8810888252148997,0.8716864870621287,0.8048405417212757,0.9870689655172413,0.9757168458781362,0.9787837898242203,0.9518655735080558,1.0,0.9611982457444436,0.9916666666666667,1.0,0.9354838709677419,240,232,0.9666666666666667
geometry_only_normal,normal,False,True,0.35673352435530087,0.33998952984852426,0.03982556436006446,0.41379310344827586,0.42626443647949025,0.3664158686730506,0.3099748132733601,0.4227243799887581,0.15619524960635156,0.55,0.14814814814814814,0.5806451612903226,240,232,0.9666666666666667
main_grayscale,grayscale,False,False,0.3459885386819484,0.3523830105083842,0.12275028277386946,0.2629310344827586,0.4246913580246914,0.24503672472351892,0.1947873490447952,0.29485618581877937,0.11195794559466499,0.2,0.07407407407407407,1.0,240,232,0.9666666666666667
main_center_only,center_only,False,False,0.8771489971346705,0.883760762672781,0.8273355622864995,0.978448275862069,0.967486393203239,0.9751487943407134,0.9504218542710234,0.9931069958847737,0.9653148944122594,0.9916666666666667,0.9753086419753086,0.9354838709677419,240,232,0.9666666666666667
main_background_only,background_only,False,False,0.7628939828080229,0.6792106038656108,0.585581616075542,0.8577586206896551,0.772710075667065,0.8021453705833738,0.7265244732578208,0.862528525675119,0.7234861157577785,0.9083333333333333,0.9259259259259259,0.4838709677419355,240,232,0.9666666666666667
