system,condition,images,accuracy,balanced_accuracy,macro_f1,ordinal_mae,quadratic_weighted_kappa,recall_small_green,f1_small_green,recall_medium_green,f1_medium_green,recall_mature,f1_mature
main,normal,232,0.9827586206896551,0.9716016195406877,0.9786045419703745,0.021551724137931036,0.969619874289135,0.9916666666666667,0.9875518672199171,0.9876543209876543,0.9815950920245398,0.9354838709677419,0.9666666666666666
main,grayscale,232,0.2629310344827586,0.4246913580246914,0.24503672472351892,1.1379310344827587,0.11195794559466499,0.2,0.33103448275862074,0.07407407407407407,0.13333333333333333,1.0,0.27074235807860264
main,center_only,232,0.978448275862069,0.967486393203239,0.9751487943407134,0.02586206896551724,0.9653148944122594,0.9916666666666667,0.9834710743801653,0.9753086419753086,0.9753086419753086,0.9354838709677419,0.9666666666666666
main,background_only,232,0.8577586206896551,0.772710075667065,0.8021453705833738,0.17672413793103448,0.7234861157577785,0.9083333333333333,0.897119341563786,0.9259259259259259,0.8571428571428572,0.4838709677419355,0.6521739130434783
visual,normal,232,0.9870689655172413,0.9757168458781362,0.9787837898242203,0.021551724137931036,0.9611982457444436,0.9916666666666667,0.9916666666666667,1.0,0.9938650306748467,0.9354838709677419,0.9508196721311476
visual,grayscale,232,0.5344827586206896,0.6157407407407408,0.49702324449312396,0.6551724137931034,0.41137915724041696,0.625,0.7575757575757575,0.2222222222222222,0.36,1.0,0.37349397590361444
visual,center_only,232,0.9612068965517241,0.937750564184256,0.9536713858517896,0.05172413793103448,0.9210675537746191,0.9916666666666667,0.967479674796748,0.9506172839506173,0.9625,0.8709677419354839,0.9310344827586207
visual,background_only,232,0.7586206896551724,0.567798353909465,0.5403009688723975,0.3577586206896552,0.2775706882443859,0.975,0.8181818181818182,0.7283950617283951,0.8027210884353742,0.0,0.0
